Port_ID,pnl,Win_Positions,Total_Positions,ROI,Win_rate,Sharpe_Ratio,MDD,Score,Rank
3672754654734989568,566.59765978,210,474,0.0784392329139744,44.303797468354425,0.014429562630538724,-0.5211292849210885,346.3145177365828,137.0
3733192481840423936,2923.97719988,553,689,0.40479258016277786,80.2612481857765,-0.1362882798735598,-0.34274331867704144,1627.9695584560327,69.0
3768170840939476993,243.66889897,6,14,0.033733287087032535,42.857142857142854,0.7730845614541965,0.0,123.6411961424174,142.0
3784403294629753856,2521.81430468,1829,6050,0.3491175372792623,30.231404958677686,-0.6515146716274681,-0.8929987980833092,1809.6769758474559,61.0
3786761687746711808,205.02139999,37,82,0.028382964646216455,45.1219512195122,-0.09620588533639636,-0.060228847470239474,113.61637658792924,143.0
3788465932399412480,13960.96645667,1369,3069,1.9327427155702082,44.607363962202676,-0.2809495634448004,-0.999768206412519,7391.569776878114,9.0
3818233536529843712,6419.60790714,482,1421,0.8887243198993543,33.919774806474315,-0.1263527900735229,-0.9979049815330793,3354.58169843398,29.0
3819545518395756033,980.0631999599999,26,68,0.1356790030547018,38.23529411764706,-0.8470826464237355,0.0,497.8587357806109,133.0
3826087012661391104,532.65697373,63,108,0.07374051711029504,58.333333333333336,0.762885044167654,-0.19447999848277195,285.24323496842203,139.0
3858510226868015873,-280.97295038999994,243,996,-0.038897623944873436,24.397590361445783,-1.2607576587107165,-0.35015344154047084,-67.59425471978895,145.0
3865845304835489536,1406.06618669,451,882,0.19465444518966898,51.13378684807256,-0.24329184377362117,-0.19435285656073265,838.3720242340379,118.0
3878631538480067329,3921.23304116,1415,2811,0.5428517158806282,50.337958022056206,-0.0956172007818113,-0.9994984300618507,2385.225090923176,40.0
3879821005658659073,4268.00656095,289,872,0.5908587071162927,33.142201834862384,-0.07553289899310556,-0.9999999999888314,2220.821452216423,44.0
3880920727367689984,-176.82699999000002,49,145,-0.024479759134692698,33.793103448275865,-0.9185258675331215,-0.186871049417137,-73.71839594682694,146.0
3886752488982104320,7195.17832464,931,1249,0.9960935396082605,74.5396317053643,0.3050097425221463,-0.18308171339487797,3877.088381027922,21.0
3887577207880438784,2417.51403674,2893,6050,0.33467830889785277,47.81818181818182,-0.4481806845831777,-0.998693523316633,2076.7239540317796,47.0
3891020560590657281,2856.30056379,283,437,0.3954234920109508,64.75972540045767,0.5760277603197462,0.0,1513.1293665934022,74.0
3907081197088384000,18015.99737026,2540,4137,2.4941172797149926,61.39714769156394,0.29032000715338135,-0.6596748194964256,9770.497508585942,5.0
3910887259807777281,1803.30201001,17,75,0.24964738899969163,22.666666666666664,-0.1959278775831352,-0.12136640236826353,906.8009344828,116.0
3910983669796782848,6761.64804825,274,640,0.936076026761104,42.8125,-0.26465136842010856,-0.1664714437210773,3463.211239330352,25.0
3911997667197443328,605.72231024,30,64,0.08385561174494482,46.875,-0.0009114002635532582,-0.3429828917161597,311.87792624234896,138.0
3914654298562589441,343.47044904999996,200,483,0.04754971731185982,41.40786749482402,0.06047536077055726,-0.9995903022574709,231.74473446846235,141.0
3919174299855478272,1456.3718076199998,609,1267,0.20161870677617555,48.06629834254144,-0.22058585270777126,-0.9980432194765829,910.9262275513552,115.0
3923766029921022977,772.72903189,359,1259,0.10697586102869601,28.51469420174742,-0.5670070759189749,-0.8898939462388386,494.08591111720574,134.0
3925368433214965504,6789.43673863,486,1458,0.9399230662245875,33.33333333333333,-0.490021543057546,-0.10610277906850642,3540.7063539282453,24.0
3926423286576838657,1309.45995959,163,478,0.18128037239279315,34.10041841004184,-2.9707663977728553,-0.023629501689189286,703.6662358694786,124.0
3930688517098515713,1947.24457347,140,288,0.2695746584943406,48.61111111111111,-0.2769047547898561,-0.7326039534595974,1015.6762016666988,109.0
3931992636670880512,10374.96528998,2430,6050,1.4363001766917416,40.16528925619834,-0.15444022273462565,-0.5269321637709355,5916.769905025339,12.0
3932103299427844097,3860.30970535,778,2589,0.5344175480985863,30.050212437234453,-0.2000581895061257,-0.9523318051930176,2163.6617361846197,45.0
3935808725185052672,2301.96412286,602,1715,0.3186816903951532,35.10204081632653,-0.9122871999673666,-0.5020303651747106,1331.6457977680789,88.0
3936410995029308417,10681.514,6,20,1.4787384841038715,30.0,0.29809351898367575,0.0,5342.85274769682,14.0
3937714876784951296,1117.5308932100002,201,511,0.1547098977696047,39.33463796477495,-0.1281457508756976,-0.8383578616545653,619.096388584554,129.0
3939318616482048768,9775.38910984,118,315,1.3532954292631454,37.46031746031746,-0.23655681126239098,-0.005248135385394421,4923.365214005852,15.0
3939925275039085824,2378.8786707,2148,5928,0.32932966612953474,36.23481781376518,-0.2820054302647079,-0.41412067492252597,1833.905201283226,58.0
3941019213896463617,4234.08779003,55,112,0.5861630252220494,49.107142857142854,-0.04873528110620687,-0.40153706547445206,2133.6611276200447,46.0
3942630767220672256,6611.89848042,1903,4969,0.9153448411887082,38.29744415375327,-0.11895245461306311,-0.9999999979821823,3877.032309178238,22.0
3943533600390906881,2361.42457205,964,1759,0.3269133375660838,54.80386583285958,0.1897358658249341,-0.08332012057983347,1469.9776686925131,78.0
3944088772635000577,7581.4919834,2774,6063,1.0495744295030247,45.75292759360053,-0.023377247067977305,-0.5887575779912011,4623.155906585901,19.0
3944239644144231424,-1187.89097568,227,858,-0.16445047964714668,26.456876456876454,-0.33583680001979394,-0.9999994500239658,-525.8783779359295,148.0
3944658614777849089,2074.44997996,20,45,0.2871848521394399,44.44444444444444,0.5578670919646636,0.0,1043.2824269504279,107.0
